"","Parcela","long_hoja"
"205","Parcela 2",26
"206","Parcela 2",17
"207","Parcela 2",20
"208","Parcela 2",15
"209","Parcela 2",10
"210","Parcela 2",13.5
"211","Parcela 2",13.6
"212","Parcela 2",19
"213","Parcela 2",17
"214","Parcela 2",18.6
"215","Parcela 2",20
"216","Parcela 2",15.8
"217","Parcela 2",26.5
"218","Parcela 2",22.5
"219","Parcela 2",24
"220","Parcela 2",29
"221","Parcela 2",25
"222","Parcela 2",32
"223","Parcela 2",27.5
"224","Parcela 2",14.5
"225","Parcela 2",22
"226","Parcela 2",22
"227","Parcela 2",24.5
"228","Parcela 2",20.5
"229","Parcela 2",21
"230","Parcela 2",16.5
"231","Parcela 2",30
"232","Parcela 2",26
"233","Parcela 2",21.3
"234","Parcela 2",16
"235","Parcela 2",20.3
"236","Parcela 2",25.2
"237","Parcela 2",18
"238","Parcela 2",29.5
"239","Parcela 2",31
"240","Parcela 2",32
"241","Parcela 2",29
"242","Parcela 2",27
"243","Parcela 2",17
"244","Parcela 2",18.2
"245","Parcela 2",26
"246","Parcela 2",27.5
"247","Parcela 2",20
"248","Parcela 2",24
"249","Parcela 2",16.6
"250","Parcela 2",21
"251","Parcela 2",20.2
"252","Parcela 2",23.5
"253","Parcela 2",29
"254","Parcela 2",22
"255","Parcela 2",27.3
"256","Parcela 2",27
"257","Parcela 2",21
"258","Parcela 2",18
"259","Parcela 2",26
"260","Parcela 2",23
"261","Parcela 2",21.5
"262","Parcela 2",27.5
"263","Parcela 2",25
"264","Parcela 2",24.2
"265","Parcela 2",22.5
"266","Parcela 2",10.5
"267","Parcela 2",12.5
"268","Parcela 2",14.5
"269","Parcela 2",21
"270","Parcela 2",22.5
"271","Parcela 2",22.4
"272","Parcela 2",24.5
"273","Parcela 2",22
